BCF,BAF,group,BCF,BAF,group,BCF,BAF,group
0.8959,0.9237,training,0.7006,0.8954,valid,0.6753,0.8163,test
0.9023,0.929,training,0.7495,0.853,valid,0.6795,0.8484,test
0.907,0.9619,training,0.6926,0.8731,valid,0.6449,0.8479,test
0.8956,0.9514,training,0.722,0.8687,valid,0.7137,0.8081,test
0.9176,0.9582,training,0.733,0.8887,valid,0.6771,0.7839,test
0.9039,0.9693,training,0.6984,0.8603,valid,0.6641,0.8587,test
0.9003,0.9475,training,0.727,0.852,valid,0.6538,0.8446,test
0.9116,0.9668,training,0.706,0.8943,valid,0.6755,0.8561,test
0.8561,0.9482,training,0.7139,0.8396,valid,0.6341,0.8253,test
0.9239,0.9677,training,0.7321,0.8917,valid,0.7085,0.8252,test
